No.,Time,Source,Destination,Protocol,Length,Ping,seq,ttl
1192,1216.522596,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,90/23040,128 (request in 1191)
1193,1217.535725,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,91/23296,126 (reply in 1194)
1194,1217.535777,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,91/23296,128 (request in 1193)
1196,1218.537985,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,92/23552,126 (reply in 1197)
1197,1218.538046,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,92/23552,128 (request in 1196)
1198,1219.542803,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,93/23808,126 (reply in 1199)
1199,1219.542875,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,93/23808,128 (request in 1198)
1201,1220.552657,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,94/24064,126 (reply in 1202)
1202,1220.552707,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,94/24064,128 (request in 1201)
1203,1221.565071,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,95/24320,126 (reply in 1204)
1204,1221.565133,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,95/24320,128 (request in 1203)
1208,1222.572216,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,96/24576,126 (reply in 1209)
1209,1222.572266,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,96/24576,128 (request in 1208)
1211,1223.578307,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,97/24832,126 (reply in 1212)
1212,1223.578358,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,97/24832,128 (request in 1211)
1214,1224.582069,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,98/25088,126 (reply in 1215)
1215,1224.582129,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,98/25088,128 (request in 1214)
1216,1225.592037,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,99/25344,126 (reply in 1217)
1217,1225.592090,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,99/25344,128 (request in 1216)
1220,1226.608221,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,100/25600,126 (reply in 1221)
1221,1226.608282,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,100/25600,128 (request in 1220)
1222,1227.621278,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,101/25856,126 (reply in 1223)
1223,1227.621329,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,101/25856,128 (request in 1222)
1225,1228.629381,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,102/26112,126 (reply in 1226)
1226,1228.629441,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,102/26112,128 (request in 1225)
1227,1229.644379,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,103/26368,126 (reply in 1228)
1228,1229.644430,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,103/26368,128 (request in 1227)
1230,1230.648437,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,104/26624,126 (reply in 1231)
1231,1230.648489,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,104/26624,128 (request in 1230)
1232,1231.650828,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,105/26880,126 (reply in 1233)
1233,1231.650879,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,105/26880,128 (request in 1232)
1236,1232.661001,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,106/27136,126 (reply in 1237)
1237,1232.661052,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,106/27136,128 (request in 1236)
1239,1233.663458,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,107/27392,126 (reply in 1240)
